datetime,prediction,last_price,squared_error,expected_price_change_pct,shares_owned_potential,asset_value_potential,portfolio_value,cash,return
2021-08-02 09:18:00-04:00,8.346849999999998,8.45,0.010639922500000244,-0.012207100591716117,0.0,0.0,100000.0,100000.0,
2021-08-02 09:33:00-04:00,8.346849999999998,8.45,0.010639922500000244,-0.012207100591716117,0.0,0.0,100000.0,119566.82,0.0
2021-08-02 09:48:00-04:00,8.407300000000003,8.415,5.9289999999942486e-05,-0.0009150326797381184,-2366.0,19909.89,99656.93000000001,119566.82,-0.0034306999999998977
2021-08-02 10:03:00-04:00,8.407300000000003,8.415,5.9289999999942486e-05,-0.0009150326797381184,-2366.0,19909.89,99574.12000000001,119566.82,-0.0008309507427129992
2021-08-02 10:18:00-04:00,8.373499999999996,8.36,0.00018224999999991788,0.0016148325358848038,-2366.0,19779.76,99787.06000000001,119566.82,0.0021385074756372635
2021-08-02 10:33:00-04:00,8.373499999999996,8.36,0.00018224999999991788,0.0016148325358848038,-2366.0,19779.76,99858.04000000001,119566.82,0.000711314673465635
2021-08-02 10:48:00-04:00,8.3762,8.425,0.0023814399999999955,-0.005792284866468837,-2366.0,19933.550000000003,99633.27,119566.82,-0.0022508953710688173
2021-08-02 11:03:00-04:00,8.3762,8.425,0.0023814399999999955,-0.005792284866468837,-2366.0,19933.550000000003,99645.1,119566.82,0.0001187354384735162
2021-08-02 11:18:00-04:00,8.394949999999996,8.405,0.00010100250000006478,-0.0011957168352175161,-2366.0,19886.23,99680.59000000001,119566.82,0.00035616402612870246
2021-08-02 11:33:00-04:00,8.394949999999996,8.405,0.00010100250000006478,-0.0011957168352175161,-2366.0,19886.23,99680.59000000001,119566.82,0.0
2021-08-02 11:48:00-04:00,8.41174999999999,8.42,6.806250000015171e-05,-0.0009798099762481228,-2366.0,19921.72,99645.1,119566.82,-0.0003560372184795435
2021-08-02 12:03:00-04:00,8.41174999999999,8.42,6.806250000015171e-05,-0.0009798099762481228,-2366.0,19921.72,99680.59000000001,119566.82,0.00035616402612870246
2021-08-02 12:18:00-04:00,8.418299999999993,8.42,2.890000000022767e-06,-0.0002019002375304865,-2366.0,19921.72,99645.1,119566.82,-0.0003560372184795435
2021-08-02 12:33:00-04:00,8.418299999999993,8.42,2.890000000022767e-06,-0.0002019002375304865,-2366.0,19921.72,99574.12000000001,119566.82,-0.0007123280522574049
2021-08-02 12:48:00-04:00,8.464650000000004,8.48,0.00023562249999988335,-0.001810141509433514,-2366.0,20063.68,99503.14000000001,119566.82,-0.0007128358252124212
2021-08-02 13:03:00-04:00,8.464650000000004,8.48,0.00023562249999988335,-0.001810141509433514,-2366.0,20063.68,99479.48000000001,119566.82,-0.00023778144086716857
