datetime,portfolio_value,cash,return
2021-08-02 09:18:00-04:00,100000.0,100000.0,
2021-08-02 09:33:00-04:00,100000.0,119566.82,0.0
2021-08-02 09:48:00-04:00,99656.93000000001,119566.82,-0.0034306999999998977
2021-08-02 10:03:00-04:00,99574.12000000002,139576.42,-0.0008309507427128882
2021-08-02 10:18:00-04:00,100000.18000000002,139576.42,0.004278822649901315
2021-08-02 10:33:00-04:00,100142.20000000003,159501.78000000003,0.001420197443644744
2021-08-02 10:48:00-04:00,99465.23000000003,159501.78000000003,-0.006760087156064132
2021-08-02 11:03:00-04:00,99500.86000000003,179381.40000000002,0.00035821562972304655
2021-08-02 11:18:00-04:00,99643.16500000002,179381.40000000002,0.0014301886435956757
2021-08-02 11:33:00-04:00,99643.16500000002,179381.40000000002,0.0
2021-08-02 11:48:00-04:00,99500.86000000003,179381.40000000002,-0.0014281461252259042
2021-08-02 12:03:00-04:00,99643.16500000002,179381.40000000002,0.0014301886435956757
2021-08-02 12:18:00-04:00,99500.86000000003,179381.40000000002,-0.0014281461252259042
2021-08-02 12:33:00-04:00,99216.25000000003,179381.40000000002,-0.0028603772871912403
2021-08-02 12:48:00-04:00,98931.64000000001,179381.40000000002,-0.002868582515465068
2021-08-02 13:03:00-04:00,98836.77000000002,179381.40000000002,-0.0009589449846377773
2021-08-02 13:18:00-04:00,99026.51000000002,179381.40000000002,0.0019197308855802842
2021-08-02 13:33:00-04:00,98836.77000000002,179381.40000000002,-0.0019160525802636164
2021-08-02 13:48:00-04:00,98836.77000000002,179381.40000000002,0.0
2021-08-02 14:03:00-04:00,98836.77000000002,179381.40000000002,0.0
2021-08-02 14:18:00-04:00,99026.51000000002,179381.40000000002,0.0019197308855802842
2021-08-02 14:33:00-04:00,99311.12000000002,179381.40000000002,0.002874078870395369
2021-08-02 14:48:00-04:00,99311.12000000002,179381.40000000002,0.0
2021-08-02 15:03:00-04:00,99026.51000000002,179381.40000000002,-0.002865842213842673
2021-08-02 15:18:00-04:00,99073.94500000002,179381.40000000002,0.0004790131450658208
2021-08-02 15:33:00-04:00,99311.12000000002,179381.40000000002,0.002393919006657086
2021-08-02 15:48:00-04:00,99975.21000000004,179381.40000000002,0.006686965165633163
2021-08-02 16:03:00-04:00,100271.76000000001,199309.26,0.002966235329737943
2021-08-03 09:14:00-04:00,99559.26000000001,99559.26000000001,-0.007105689578002838
2021-08-03 09:29:00-04:00,99559.26000000001,119467.26000000001,0.0
2021-08-03 09:44:00-04:00,100009.56000000001,119467.26000000001,0.004522934380990717
2021-08-03 09:59:00-04:00,100151.76000000001,139320.66,0.0014218640697949425
2021-08-03 10:14:00-04:00,100464.15,139320.66,0.0031191663531422442
2021-08-03 10:29:00-04:00,100103.70000000001,159598.26,-0.0035878470081116554
2021-08-03 10:44:00-04:00,99994.335,159598.26,-0.0010925170598090617
2021-08-03 10:59:00-04:00,100601.84000000001,179374.17,0.006075394171079829
2021-08-03 11:14:00-04:00,100650.52500000001,179374.17,0.0004839374707261701
2021-08-03 11:29:00-04:00,100699.21,199485.29,0.0004837033885316533
2021-08-03 11:44:00-04:00,100026.78000000001,199485.29,-0.006677609486707925
2021-08-03 11:59:00-04:00,99598.87000000001,199485.29,-0.00427795436382139
2021-08-03 12:14:00-04:00,99293.22,199485.29,-0.003068809917221027
2021-08-03 12:29:00-04:00,99537.74,199485.29,0.0024626052010399135
2021-08-03 12:44:00-04:00,99782.26000000001,199485.29,0.0024565556742599526
2021-08-03 12:59:00-04:00,99721.13,199485.29,-0.0006126339491610011
2021-08-03 13:14:00-04:00,100210.17000000001,199485.29,0.00490407599673226
2021-08-03 13:29:00-04:00,101004.86000000002,199485.29,0.007930233029242562
2021-08-03 13:44:00-04:00,100454.69000000002,199485.29,-0.005446965621258237
2021-08-03 13:59:00-04:00,100699.21,199485.29,0.002434132244099274
2021-08-03 14:14:00-04:00,100393.56,199485.29,-0.0030352770394127537
2021-08-03 14:29:00-04:00,99843.39,199485.29,-0.0054801323909621225
2021-08-03 14:44:00-04:00,99660.00000000001,199485.29,-0.0018367765757951737
2021-08-03 14:59:00-04:00,100149.04000000001,199485.29,0.004907084085892022
2021-08-03 15:14:00-04:00,99293.22,199485.29,-0.00854546384069188
2021-08-03 15:29:00-04:00,99293.22,199485.29,0.0
2021-08-03 15:44:00-04:00,99721.13,199485.29,0.004309559101819849
2021-08-03 15:59:00-04:00,99354.35000000002,199485.29,-0.003678056997548862
