time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier
2021-08-02 09:33:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.27,2366,1
2021-08-02 10:03:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.45,2368,1
2021-08-02 10:33:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.33,2392,1
2021-08-02 11:03:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.42,2361,1
2021-08-02 16:03:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.345,2388,1
2021-08-03 09:14:00-04:00,MachineLearning,SMART,SRNE,buy,stock,market,fill,8.4,11875,1
2021-08-03 09:29:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.4,2370,1
2021-08-03 09:59:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.15,2436,1
2021-08-03 10:29:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.16,2485,1
2021-08-03 10:59:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.085,2446,1
2021-08-03 11:29:00-04:00,MachineLearning,SMART,SRNE,sell,stock,market,fill,8.08,2489,1
