datetime,portfolio_value,cash,return
,100000.0,100000.0,
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
,100000.0,100000.0,0.0
2021-02-02 17:15:00-05:00,100000.0,100000.0,0.0
