time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier
2021-02-01 00:15:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,market,fill,33581.3,0.5967322346100519,1
2021-02-01 00:30:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,stop,canceled,,,1
2021-02-01 00:30:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,limit,fill,33596.190500000004,0.5967322346100519,1
2021-02-01 00:45:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,market,fill,33647.2,0.5951769103858634,1
2021-02-01 00:45:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,stop,canceled,,,1
2021-02-01 00:45:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,limit,fill,33670.89940000002,0.5951769103858634,1
2021-02-01 02:15:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,market,fill,33599.11,0.5967100851071503,1
2021-02-01 02:45:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,stop,canceled,,,1
2021-02-01 02:45:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,limit,fill,33739.64,0.5967100851071503,1
