datetime,portfolio_value,cash,return
2021-02-01 00:00:00-05:00,100000.0,100000.0,
2021-02-01 00:15:00-05:00,100000.0,100000.0,0.0
2021-02-01 00:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 00:45:00-05:00,100000.0,100000.0,0.0
2021-02-01 01:00:00-05:00,100000.0,100000.0,0.0
2021-02-01 01:15:00-05:00,100000.0,100000.0,0.0
2021-02-01 01:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 01:45:00-05:00,100000.0,100000.0,0.0
2021-02-01 02:00:00-05:00,100000.0,100000.0,0.0
2021-02-01 02:15:00-05:00,100000.0,100000.0,0.0
